age,tenure_months,monthly_charge,num_products,support_calls,satisfaction_score,churn
45.960569836134795,12.545771353215146,96.70948334235041,1,1,7.357099309242104,1
38.340828385945784,1.638945133765218,85.10302223971294,1,1,2.250268688996578,1
47.77226245720831,10.295279935185135,127.59096880261973,1,2,7.044041270221533,0
58.2763582768963,2.82374171707374,33.0138944215069,3,2,4.913596999247326,1
37.19015950331997,39.63565704181153,101.48083099466997,2,2,5.614387825385175,0
37.19035651660983,70.81271964148797,98.66102176001819,1,2,3.3209641528699256,1
58.9505537860887,1.8015512095789386,45.665529049324135,1,0,4.296765519626584,1
49.20921674983491,74.48774961764846,95.17833341182899,2,1,7.932250651060622,0
34.366307368780575,17.744437185330266,78.40362407565573,3,1,6.065726747960427,1
46.51072052303158,8.545312230686449,64.3130935011648,1,3,5.234443196580883,1
34.43898768625046,1.91943899374973,49.40161282570001,1,1,5.76702329473793,1
34.411242957156915,16.665515922513446,52.02226371377036,3,5,6.978423649328603,1
42.90354725879241,37.97723736474283,121.24530239464815,1,3,6.880988992326675,1
18.0,29.469068586807595,70.01707047393707,1,3,5.8499459992063985,1
19.300986009843605,1.236749507905115,89.55325003828648,4,2,8.185918221793337,0
33.25254964910833,1.8166997773980595,50.227515458311174,2,1,7.940925273813332,1
27.846026555986914,12.375022349186104,50.50367634445903,1,3,6.8267440582607914,1
43.77096799114329,8.399270625121176,97.04962023124855,1,2,6.109223565820141,1
29.103711093745467,6.347186201581429,36.260594711211695,1,0,7.314642190239078,1
23.052355583976503,7.917604282932279,59.619655802368214,1,3,6.628534843602367,1
57.587785227058646,39.04812074776118,70.8506852768058,3,1,8.121600143611895,0
37.29068439416157,63.55902226904227,72.78431504600131,2,1,7.799122753476615,0
40.81033845625509,12.464795620260807,65.5226678745961,2,2,3.963492197164543,1
22.903021765438517,56.77540963782937,79.89549452739807,3,1,3.8280736585165873,1
33.467407305697805,9.30874713737399,87.32139389544528,2,0,4.5975009111918475,1
41.33107107651839,15.530349263748581,88.36593863648325,1,3,7.952277380133842,1
26.188077070932366,6.149300903346926,45.354904783304335,2,3,2.847382006457509,1
44.508376220148065,24.55138708731707,62.89612255178007,3,3,6.789514778215986,1
32.79233572097434,92.69601523143173,99.86907154692344,3,1,6.7250861821859225,1
36.49967500248068,22.201483819442302,92.36617968934681,1,2,8.325296117372385,1
32.77952065324724,10.62905828656042,35.678513712973405,2,0,6.360677381327775,1
